./raw\1.html,https://www.snopes.com/fact-check/johns-hopkins-coronavirus-map/,A map from Johns Hopkins University that shows the spread of COVID-19 contains malware.,False,Technology
./raw\1651.html,https://www.snopes.com/fact-check/mike-pence-gay-aliens/,"Vice President Mike Pence proposed using a planned U.S. ""Space Force"" to defend against attacks from ""outer-space gays.""",False,Politics
./raw\4458.html,https://www.snopes.com/fact-check/cfl-light-bulbs-soft-attack/,CFL light bulbs are dangerous compared to conventional incandescent bulbs because they emit higher levels of radiation.,False,Medical
./raw\1171.html,https://www.snopes.com/fact-check/trump-quote-mueller-report/,"The ""Report on the Investigation Into Russian Interference in the 2016 Presidential Election"" documents President Donald Trump's reaction to the appointment of special counsel Robert Mueller: ""This is the end of my presidency, I'm fucked.""",True,Politics
./raw\163.html,https://www.snopes.com/fact-check/black-carded/,The U.S. government assigns Social Security numbers on the basis of race.,False,Business
./raw\2275.html,https://www.snopes.com/fact-check/rand-paul-tweet-second-amendment-purpose-shoot-tyrannical-government/,"Rand Paul tweeted that the Second Amendment wasn't designed to protect our right to shoot deer, but the government when it becomes tyrannical.",False,Politics
./raw\2235.html,https://www.snopes.com/fact-check/conspiracy-theory-pizzagate-2011-interview/,"Donald Trump referred to the pedophilia conspiracy theory that has come to be known as ""Pizzagate"" during a 2011 interview.",False,Politics
./raw\967.html,https://www.snopes.com/fact-check/cocaine-bricks-wash-up-dorian/,Bricks of cocaine washed ashore in Florida after Hurricane Dorian.,True,Politics
./raw\1733.html,https://www.snopes.com/fact-check/lori-mcallen-shoot-immigrants/,"In June 2018, Oregon DOT employee Lori McAllen said immigrants into the United States should be shot at the border with Mexico.",True,Politics
./raw\2690.html,https://www.snopes.com/fact-check/chelsea-clinton-george-soros-nephew/,Chelsea Clinton is married to George Soros' nephew.,False,Politics
./raw\961.html,https://www.snopes.com/fact-check/testimony-biotech-company/,Court testimony proved that a biotech company harvests organs from live fetuses.,False,Politics
./raw\1226.html,https://www.snopes.com/fact-check/sharia-zone-housing-project-wva/,A new housing project is being built in West Virginia that will house 321 Syrian refugees at taxpayer expense while displacing Americans currently living there.,False,Politics
./raw\1277.html,https://www.snopes.com/fact-check/ann-coulter-timothy-mcveigh-quote/,"Ann Coulter said her ""only regret"" about Oklahoma City bomber Timothy McVeigh was that he didn't go to the New York Times.",True,Politics
./raw\2531.html,https://www.snopes.com/fact-check/government-to-microchip-citizens/,"H.R. 4919, passed on 8 December 2016, allows the microchipping of ""mentally disabled"" citizens such as patients with autism and Alzheimer's disease.",False,Politics
./raw\2283.html,https://www.snopes.com/fact-check/sears-sell-free-palestine-shirts/,Sears sold 'Free Palestine' shirts on its web site.,True,Business
./raw\5202.html,https://www.snopes.com/fact-check/florida-officer-mistakes-donut-glaze-for-methampetamines/,A man was arrested after sugar from his Krispy Kreme donuts tested positive for methamphetamine during a traffic stop.,True,Crime
./raw\1075.html,https://www.snopes.com/fact-check/google-clinton-epstein/,Google removed images of Bill Clinton with Jeffrey Epstein from their search results.,False,Politics
./raw\1688.html,https://www.snopes.com/fact-check/trump-protocol-queen-elizabeth/,"Donald Trump broke royal protocol by arriving late to meet Queen Elizabeth, failing to bow, and walking in front of her.",False,Politics
./raw\4952.html,https://www.snopes.com/fact-check/egg-balancing-on-the-equinox/,A special property of the equinox allows eggs (or brooms) to be balanced on their ends that day.,False,Science
./raw\2688.html,https://www.snopes.com/fact-check/obama-golf-outing-with-tiger-woods/,Taxypayers paid $4 million for President Obama to play golf with Tiger Woods.,False,Politics
./raw\4802.html,https://www.snopes.com/fact-check/charles-lieber-arrested-coronavirus/,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus.,False,Science
./raw\1595.html,https://www.snopes.com/fact-check/warrick-dunn-build-homes/,"Warrick Dunn started a charitable program to house single-parent families in honor of his mother, a police officer who was killed when he was a teenager.",True,Politics
./raw\4297.html,https://www.snopes.com/fact-check/turmeric-prevent-dementia/,"Turmeric can prevent dementia; as a result, India, whose food contains a large amount of the spice, has the lowest rates of dementia worldwide.",False,Medical
./raw\4716.html,https://www.snopes.com/fact-check/killer-clown-warning-note/,"A ""killer clown"" left a note at an elementary school threatening that ""kids will die"" if Halloween is not cancelled.",False,Holidays
./raw\1759.html,https://www.snopes.com/fact-check/bill-maher-recession-get-rid-trump/,"Comedian and talk show host Bill Maher said he hopes an economic recession will occur because it's a way to get rid of President Trump.""",True,Politics
./raw\1041.html,https://www.snopes.com/fact-check/trump-tweets-invaders-deleted/,"After the 2019 El Paso shooting, President Trump deleted tweets that referred to immigrants as ""invaders.""",False,Politics
./raw\3098.html,https://www.snopes.com/fact-check/republican-impeached-clinton-scandal/,All three Speakers of the House involved with the impeachment of President Clinton later had sex scandals of their own.,True,Politics
./raw\2871.html,https://www.snopes.com/fact-check/limbaugh-obama-sending-lesbian-farmers/,"Rush Limbaugh accused President Obama and the Democrats of recruiting lesbian farmers to ""attack"" conservative rural areas of the U.S.",True,Politics
./raw\1639.html,https://www.snopes.com/fact-check/aretha-franklin-donald-trump/,The late songstress Aretha Franklin worked for Donald Trump on numerous occasions.,False,Politics
./raw\678.html,https://www.snopes.com/fact-check/bloomberg-buy-greenland/,2020 Democratic presidential candidate Michael Bloomberg enraged U.S. President Donald Trump with the purchase of Greenland.,False,Politics
./raw\557.html,https://www.snopes.com/fact-check/coach-jason-garrett-out-of-job/,Jason Garrett is out as Dallas Cowboys' coach.,True,Sports
./raw\2785.html,https://www.snopes.com/fact-check/debate-secret-hand-signals/,Hillary Clinton and moderator Lester Holt rigged the first presidential debate by communicating via secret hand signals.,False,Politics
./raw\667.html,https://www.snopes.com/fact-check/goodwill-executives-arrested/,Goodwill executives were arrested in February 2020 on suspicion of stealing donated goods for years.,False,Politics
./raw\771.html,https://www.snopes.com/fact-check/pompeo-cia-quote-on-rt/,"U.S. Secretary of State Mike Pompeo stated on the Russian state television network RT that the CIA ""lied, cheated, stole.""",False,Politics
./raw\1172.html,https://www.snopes.com/fact-check/trump-admin-disability-recipients/,The Trump Administration is seeking to monitor social media posts of disability recipients.,True,Politics
./raw\1109.html,https://www.snopes.com/fact-check/trump-cleanest-air-world/,"As of June 2019, the United States was ranked as having the cleanest air in the world.",False,Politics
./raw\2781.html,https://www.snopes.com/fact-check/child-prostitution-legalized-in-california/,California has passed a law that legalizes child prostitution.,False,Crime
./raw\3372.html,https://www.snopes.com/fact-check/orcas-plastic-bags/,SeaWorld houses orcas in plastic bags while their tanks are cleaned.,False,Politics
./raw\169.html,https://www.snopes.com/fact-check/united-airlines-begin-charging-use-overhead-storage/,United Airlines will begin charging for overhead bin space.,False,Business
./raw\2939.html,https://www.snopes.com/fact-check/joel-osteen-donald-trump/,Televangelist Joel Osteen endorsed Donald Trump.,False,Politics
./raw\1929.html,https://www.snopes.com/fact-check/church-of-lucifer-colombia/,"A so-called ""Church of Lucifer"" has opened in Colombia.",False,Politics
./raw\1871.html,https://www.snopes.com/fact-check/did-leonard-refuse-play-anti-trump-comments/,Kawhi Leonard said that he refused to play for the San Antonio Spurs because of coach Gregg Popovich's anti-Trump comments.,False,Politics
